"utente"|"commento"|"hotel"|"datains"|"tipo_lista"|"labelpers"|"predictedCategory"
"Calavera11"|"Inaspettatamente vicino alla stazione di Pisa un angolo di quiete e di gentilezza. Camere accoglienti, molto curate, pulitissime. Personale molto cortese e attento, ottima colazione. Ci torneremo sicuramente!"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"zabigno"|"Ho soggiornato presso questa struttura una notte per una trasferta di lavoro. Molto comodo per la vicinanza alla stazione per chi viaggia in treno come me. Ho trovato la stanza pulita e dotata di tutto l occorrente (addirittura il fornelletto per le zanzare).Il  personale veramente gentile, una buona e abbondante servita nel giardino esterno. Non mancherà occasione per tornarci. Complimenti"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Federico D"|"Convinto dalle recensioni che lo ritraggono un eccellente hotel mi sono ritrovato in una camera demodé dal decantato parquet in legno poco lineare, muri e angoli dei muri sporchi. Per non parlare del letto matrimoniale composto da due brande separate che hanno reso il sonno impossibile con un mal di schiena mattutino mai provato. Credo che non siano sufficienti drappi nelle scale di stampo antico o un frigo bar con varie bibite nella media per poter classificare eccellente un hotel. Pessimo per me e di sicuro non tornerò tantomeno consiglierò ad amici, colleghi e parenti"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"sp"
"sergioaga"|"Al centro di Pisa un piccolo albergo ben organizzato, gradevole efficiente. Stanza ampia e ben arredata così come il bagno. Personale cortese.Colazione italiana e continentale varia e di buona qualità. Insomma tutto ok."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Mario_naima"|"L'albergo è situato in una posizione strategica vicina alla stazione,lo stabile è molto buono.Purtroppo la qualità di questo albergo si perde nella cura di dettagli più o meno trascurabili.La colazione è buona e ricca (non esaltante).La pulizia della camera non è impeccabile: ho trovato un capello sul letto appena rifatto (chi lo ha rifatto evidentemente non indossava la cuffia), la porta della cabina doccia era semi divelta,Il cuscino della sedia allo scrittoio mostrava una evidente pedata di scarpa (molto grave che sia sfuggita alla pulizia).Il riscaldamento era bollente con clima mite (per fortuan diasattivabile).Purtroppo non posso votare con più di 3.Il Personale di accoglienza è molto professionale, gentile ed accogliente.Ottime potenzialità,nel complesso consigliato."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Marco C"|"A dir la verità non ci ho soggiornato personalmente ma un dirigente della mia azienda, mi ha fatto però vedere le foto della stanza, molto bella ed ampia e mi ha raccontato di una ottima e cortese accoglienza e disponibilità, ritengo quindi di dare un giudizio molto positivo"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"ClaudioP1980"|"L'albergo è ben posizionato, per chi come me arriva con il treno, distando circa 500m a piedi dalla stazione e circa 2km (una piacevole passeggiata) da Piazza dei Miracoli. La mia stanza era spaziosa e pulita. La colazione è ampia e buona e il personale molto cortese. Il rapporto qualità-prezzo giusto."|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"giormocci"|"Ottima posizione vicinissima alla Stazione e al centro storico, nonchè alle fermate dei vari Bus,  in zona tranquilla. Camera confortevole, pulita e slienziosa con minibar fornito e ottima e variegata colazione. Unico appunto l'intonaco leggermente scrostato affianco alla porta ma niente di importante con un piccolo lavoretto si può sistemare subito. Rapporto qualità prezzo ottimo"|"Hotel Alessandro della Spina"|"05/07/2019"|"SCORE"|""|"ce"
"Ilenia"|"Posto carino e tranquillo, con parcheggio e bagno privato. Pulito, arredamento essenziale. Di negativo: cattivo odore nel bagno dovuto alla fogna che col cambio del tempo si sente abbastanza...dovrebbero trovare una soluzione! Ideale comunque x brevi periodi di pernottamento."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"sp"
"GiovanniC150250"|"Continuo a confermare i miei giudizi positivi. È la seconda volta che torniamo, in quanto abbiamo bisogno dell'assistenza dell'ospedale e credetemi come punto d'appoggio continua ad essere l'ideale per tutto."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"so"
"pierorasero"|"Posizione tranquilla, ma strategica e comodissima per l'ospedale, personale gentilissimo e molto disponibile, struttura pulita, comodo parcheggio interno (gratuito), massima libertà di movimento.  Ottimo il rapporto qualità/prezzo. Volendo trovare un difetto direi che il letto, seppur grande, era piuttosto duro per i miei gusti.…"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"03Bull78"|"Ritornato dopo un anno in questa struttura con moglie e figlio.  La prima cosa che si nota arrivando in questa struttura è la cordialità, la gentilezza e la disponibilità dei gestori. Le camere pulite e dotate di tutti i comfort.  Consigliatissimo"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Mirko C"|"Abbiamo scoperto questa locanda per caso alla ricerca di qualcosa di vicino all'ospedale di Cisanello. Al nostro arrivi abbiamo trovato cortesia, pulizia e una stanza anche migliore di quanto apparso in foto. Ringraziamo la direzione e lo consigliamo fortemente.. Noi ci ritorneremo sicuramente …"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"so"
"Giuliano R"|"E' il nostro punto di riferimento ogni volta che ci rechiamo a Pisa (3/4 volte l'anno negli ultimi 7 anni).La struttura è vicinissima all'ospedale Cisanello e non molto distante dal centro.I proprietari sono sempre cortesi, disponibili e simpatici.Le camere sono ampie, sempre pulite, e dotate di molti confort: tv schermo piatto, fornelletto e piastrine anti zanzare, fono, shampoo e saponi,...Anche i letti (reti, materassi e cuscini) li ho trovati sempre comodi (la mia schiena ringrazia). Ottimo rapporto qualità/prezzo.Unica piccola pecca la mancanza di un ambiente dove fare la colazione ci sono però vari distributori automatici di bevande calde (caffà, latte,...), bibite fredde, acqua e merendine varie. Oppure si può ricorrere al bar che dista meno di 100 metri."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Fabio M"|"L'abbiamo scelta per il pernotto la sera prima di imbarcarci per la Corsica da Livorno e devo dire che è risultata comodissima,situata in zona comoda e non distante dal centro città. Dopo aver fatto il check in con il proprietario siamo stati indirizzati appunto alla depandance che è un fabbricato a non più di 100 metri dalla locanda,camera molto comoda e spaziosa con bagno privato, unica pecca ma è veramente voler trovare il pelo nell'uovo.. la nostra risultava poco luminosa.Al piano terra c'era un frigo del quale potevano usufruirne tutti e una macchinetta con moneta per caffè, buona pulizia e gentilezza da parte del proprietario."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"ant0n0vi"|"Abbiamo scelto anche questa volta di alloggiare alla locanda di giada , e come previsto non si sbaglia mai , disponibili sempre e la stanza e ' sempre accogliente e pulita ! Persino le pasticche per le zanzare ! raggiungere  L ' ospedale e ' un attimo a piedi , ma perfetto anche per i pulman che ti portano in città ! Dista 10 min dal centro ! Noi L abbiamo persino percorso piacevolmente a piedi (30min ) ."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Cristinalunamartina"|"La camera avuta era disposta bene, molto pulita e veramente molto carina.Avrei aggiunto un frigo bar che per me é sempre necessario.Dista dal marina di pisa 14km ,circa10minutied é molto vicino al centro della città e all'ospedale quindi posizione ottima.Nel complesso un gradevole soggiorno accompagnato da molta gentilezza."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Filemone7265"|"Ottima posizione per recarsi a piedi  al vicino ospedale,facilmente raggiungibile dalla stazione ferroviaria con  bus di linea. Camere pulite e confortevoli, proprietari gentilissimi e molto disponibili."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"bimboAscoliPiceno"|"Nulla da eccepire. Si inizia con una cordialissima giovane signora con cui scambiare due battute, ma molto concreta nel suo lavoro. Ci assegna una stanza in una dependance, molto carina, con tutti i conforts e soprattutto tranquilla. Pulizia al top, come pure il prezzo veramente da ...realizzo. Non proprio centrale, a pochi metri Dall'ospedale,  e a circa 3 km. Dalla torre. Vale la pena."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Raffaele"|"Siamo clienti da tanti anni. Ottima posizione per il vicino ospedale nonché per raggiungere la fermata del  bus per la stazione ed il centro.  Locanda carina e pulita corredata,  come sempre ,dalla  cortesia e disponibilità dei proprietari.Fam  Licheri"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Michele D"|"Posto ottimo facilmente raggiungibile vicino ospedale...parcheggio privato nella struttura ...stanza con tutti i confort e molto pulita ... responsabile gentilissimo e molto disponibile consiglio a tutti"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Max D"|"In viaggio per Roma, abbiamo fatto sosta in questa locanda.Nonostante un problemacon la carta di credito, Sergio, il proprietario, ha accettato la prenotazione.Si può arrivare anche a tarda ora grazie ad un ingegnoso sistema di approntamento delle chiavi.La camera è carina e pulita, con una dipinto agreste alle spalle della testata del letto.Bagno ampio, dotato di tutto il necessario, phon compreso.Consiglio di prenotare camere non a piano terra per evitare un mattiniero risveglio per il check out di altri clienti.Per la colazione, consiglio la pasticceria Buselli poco distante.Personale efficiente e cordiale."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"olivialive"|"Abbiamo alloggiato solo per una notte in questa locanda , la camera è carina, molto ampia con bagno privato ,vicino all ospedale cisanello ci si va a piedi,quindi comodo per chi non è automunito e all ospedale ci deve andare per forza.Pulito , il bagno un po’ piccolo ma nel contesto non è male."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Mick G"|"Noi abbiamo prenotato tramite un noto motore di ricerca, e pur avendo dormito solo una notte, possiamo dire di esserci trovati bene, proprietari cordiali e camera pulita e dotata di tutti i comfort..."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"ant0n0vi"|"Basta poco ...per capire la Gentilezza, l'accoglienza che ti riservano i titolari della struttura ! Le camere sono pulite e confortevoli , e sopratutto vicine sia alla meravigliosa Pisa centro e si per chi prenota visita medica presso hospital ( ci si può andare a piedi ) .Complimenti !"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"GiovanniC150250"|"Ottimo rapporto qualità/prezzo, ideale per chi ha necessità dell'ospedale Cisanello. I proprietari gentilissimi e sempre disponibili. Per chi dovesse arrivare in orari non consoni nessun problema ti diranno loro come fare."|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Jade"|"La Locanda di Giada è un grazioso affittacamere, con parcheggiointerno e servizi (ristoranti, supermercato, cinema, banche...)facilmente raggiungibili a breve distanza (sia a piedi che con i mezzipubblici, per arrivare in centro città). Le stanze sono moltobelle, stile rustico, impreziosite da affreschi o da stampe, sonospaziose, pulite, ben arieggiate e ottimo sistema di riscaldamento. Lazona è molto tranquilla, quindi non si è disturbati dal traffico. Sipuò fare colazione al vicino Bar da Simone con agevolazioni locanda.Lo staff (dai proprietari alle signore delle pulizie) è veramentegentile e disponibile, ci siamo sentiti a casa! :)"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"ce"
"Lorenzo S"|"Abbiamo soggiornato per la notte di Capodanno, la stanza è ottima e pulita, inoltre il proprietario è stato disponibilissimo consentendoci di rimanere un ora in più il mattino successivo. Avevo inoltre chiesto se fosse possibile non avere coperte di lana (in quanto allergico) e siamo stati accontentati sia per quanto riguarda le coperte sul letto sia quelle nell'armadio. Consigliatissimo"|"La Locanda di Giada"|"05/07/2019"|"SCORE"|""|"sp"
"massimo t"|"Sono stato una notte in questo hotel , ero a Tirrenia  per motivi di lavoro . L'hotel è tipico hotel per vacanza n po datato . Camera piccola con arredamento datato . 5 posti auto . No per un soggiorno business"|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"Matilde"|"Sono stata qua con una vacanza con il mio compagno. Hotel veramente ottimo, pulito con personale gentile. A pochi metri si trovano sia i bagni sia la spiaggia libera. Inoltre per la sera facendo una passeggiata puoi sia cenare in ristoranti con vista mare sia mangiare un gelato o un semplice panino o hot dog a pochi euro. A pochi metri si trova un piccolo supermarcket . Quindi ottima posizione. Ci tornerò sicuramente. …"|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"Ivonne G"|"Ho alloggiato più volte per motivi di lavoro in questo albergo.. chiamarlo così è riduttivo.. sembra di essere a casa.. pulizia maniacale al di sopra di ogni aspettative.. gentilezza e alta professionalità.. ideale per trascorrere delle belle vacanze..."|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"Luisa B"|"Piccolo hotel a conduzione famigliare.... Anche se ci siamo fermati una sola notte abbiamo notato subito la disponibilità e l'attenzione al cliente.... Stanza piccolina ma con ogni confort e il balcone... Ma soprattutto una pulizia impeccabile.... E che dire della colazione... Buonissima e abbondante sia dolce che salato...  croissant caldi e 4 tipi di torte fatte in casa buonissime!!!! Ci ritorneremo spero presto.... Per goderci qualche giorno in più di coccole in questo graziosissimo hotel…"|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"Elena B"|"Abbiamo soggiornato una notte in questo piccolo Hotel, un angolo di paradiso, personale gentile, un’ottima colazione , da tenere in considerazione anche per una vacanza di tutto relax ambienti puliti , un giardino esterno molto curato. Ci ritorneremo sicuramente, tra l’altro TIRRENIA è stata una bella scoperta…"|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"MarcoGLM67"|"Hotel con camera spaziosa e decisamente pulito. Colazione dolce, salata e frutta fresca con caffetteria vera e brioches fresche servite. Prezzo assolutamente adeguato al periodo. Lido convenzionato non dei migliori."|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
"Anna74anna"|"Appena terminata una breve vacanza in allegria ed in totale relax presso l'Hotel Riviera Blu...sto sempre bene e mi sento in Famiglia, hotel accogliente, staff sempre sorridente e molta pulizia!!!  . . .a presto un saluto Anna"|"Hotel Riviera Blu"|"05/07/2019"|"SCORE"|""|"ce"
